collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20,index
Bari1,38,0.16573,0.16253,0.19093,0.17696,0.20078,0.17902,0.13343,0.15955,0.22346,0.16321,0.11854,0.18062,0.18543,0.19666,0.14054,0.14512,0.19139,0.1458,0.05051,0.223,Bari1
Bari1,39,0.13769,0.12636,0.13238,0.13291,0.24977,0.14354,0.13167,0.16018,0.04438,0.14584,0.16885,0.14867,0.10724,0.1014,0.09307,0.1554,0.17363,0.13362,0.14265,0.11432,Bari1
Bari1,40,0.15874,0.12003,0.1977,0.12347,0.12034,0.15562,0.13267,0.16093,0.13486,0.21634,0.10942,0.09833,0.08038,0.10255,0.06618,0.13065,0.1525,0.12439,0.14235,0.2062,Bari1
Bari1,41,0.11722,0.12206,0.10372,0.10386,0.16116,0.14211,0.0649,0.10599,0.15007,0.12334,0.13869,0.15433,0.08324,0.19912,0.12803,0.15078,0.12035,0.24576,0.12519,0.12064,Bari1
Bari1,42,0.1162,0.09365,0.10044,0.1268,0.08711,0.10837,0.0885,0.12452,0.0933,0.10733,0.10579,0.11813,0.09618,0.11679,0.11783,0.10148,0.09504,0.11441,0.09796,0.10148,Bari1
Bari1,44,0.12749,0.14431,0.14448,0.11891,0.12123,0.1018,0.12674,0.1347,0.12446,0.11949,0.12467,0.13362,0.12218,0.13507,0.13321,0.12119,0.1204,0.12438,0.15119,0.12152,Bari1
Bari1,45,0.14332,0.07535,0.13078,0.20956,0.14556,0.15889,0.12946,0.12141,0.09515,0.20389,0.13856,0.19452,0.17921,0.17024,0.22513,0.09871,0.18119,0.15295,0.14912,0.13474,Bari1
Bari1,48,0.12249,0.13526,0.12524,0.13093,0.12758,0.11468,0.11569,0.11677,0.1247,0.11876,0.14398,0.15605,0.13229,0.13469,0.12537,0.13055,0.12913,0.12957,0.10722,0.12552,Bari1
Bari1,49,0.16295,0.20168,0.15507,0.16758,0.08547,0.15585,0.14304,0.07482,0.05476,0.1009,0.13208,0.16835,0.10291,0.14365,0.15554,0.10445,0.0671,0.10492,0.13625,0.15075,Bari1
Bari1,50,0.12534,0.13906,0.12121,0.12179,0.12729,0.13711,0.12275,0.1205,0.1336,0.1251,0.1279,0.1249,0.12544,0.1279,0.11425,0.12517,0.12265,0.12541,0.1321,0.12729,Bari1
Bari1,51,0.12099,0.10633,0.10025,0.13259,0.10711,0.11702,0.1068,0.09555,0.11767,0.099,0.08042,0.09344,0.08947,0.10422,0.09421,0.10659,0.10805,0.11495,0.10357,0.10646,Bari1
Bari1,52,0.11705,0.13076,0.12307,0.10764,0.10446,0.09677,0.10495,0.09957,0.10188,0.10296,0.10936,0.10887,0.11474,0.12641,0.08844,0.10296,0.09833,0.11081,0.09182,0.10592,Bari1
Bari1,54,0.11645,0.11606,0.09285,0.14162,0.1111,0.14931,0.06794,0.09806,0.20722,0.08763,0.12519,0.1694,0.09285,0.14827,0.14279,0.16888,0.20813,0.12649,0.17005,0.17461,Bari1
Bari1,55,0.10783,0.11145,0.09442,0.10583,0.11239,0.09426,0.11073,0.10427,0.09799,0.07996,0.11507,0.12858,0.10817,0.10082,0.12052,0.08658,0.10655,0.11807,0.11824,0.09776,Bari1
Bari1,56,0.10274,0.08976,0.09765,0.10427,0.09183,0.10418,0.104,0.08674,0.12392,0.0976,0.109,0.11175,0.10094,0.09138,0.11315,0.09958,0.09431,0.104,0.09382,0.12896,Bari1
Bari1,57,0.15228,0.15036,0.12959,0.12608,0.13349,0.12666,0.14861,0.12946,0.13235,0.1291,0.13173,0.1278,0.12185,0.11837,0.10501,0.13108,0.12975,0.1306,0.13635,0.12481,Bari1
Bari1,58,0.09307,0.12008,0.10203,0.10258,0.11804,0.10032,0.08324,0.10904,0.09011,0.1127,0.08353,0.10666,0.10616,0.1215,0.09399,0.11771,0.10987,0.09774,0.11495,0.09166,Bari1
Bari1,59,0.1364,0.15093,0.12289,0.13014,0.13295,0.14274,0.12897,0.11826,0.10655,0.12352,0.13383,0.12928,0.13212,0.10714,0.13329,0.12528,0.12307,0.11776,0.13473,0.13595,Bari1
Bari1,60,0.08768,0.09021,0.0966,0.07643,0.10351,0.08091,0.07859,0.08141,0.09021,0.08872,0.08925,0.09335,0.0897,0.09338,0.08832,0.09407,0.09834,0.0881,0.09093,0.09994,Bari1
Bari1,61,0.08339,0.09164,0.09287,0.08446,0.08738,0.09141,0.09067,0.08388,0.08801,0.0926,0.09076,0.08525,0.08552,0.1049,0.09973,0.08765,0.09065,0.07277,0.09948,0.09482,Bari1
Bari1,62,0.07328,0.08788,0.08451,0.08974,0.09799,0.10226,0.09172,0.08906,0.09204,0.09062,0.08549,0.0912,0.08453,0.07961,0.08914,0.0905,0.09084,0.08788,0.08716,0.10466,Bari1
Bari1,63,0.1416,0.1377,0.12733,0.10696,0.13517,0.14184,0.1352,0.13015,0.126,0.1326,0.13541,0.14279,0.12491,0.1266,0.11578,0.11799,0.13573,0.13917,0.15487,0.13517,Bari1
