collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Bari3,163,0.16239,0.14455,0.18815,0.14846,0.15595,0.15347,0.15804,0.15408,0.1773,0.16244,0.17422,0.16503,0.15336,0.15551,0.15815,0.18033,0.17136,0.14202,0.16811,0.15848
Bari3,165,0.13215,0.14139,0.16421,0.12451,0.15634,0.15651,0.14869,0.16221,0.15565,0.16067,0.14396,0.15939,0.14299,0.14122,0.15634,0.1621,0.14938,0.16586,0.15143,0.15645
Bari3,166,0.1544,0.10378,0.18735,0.16493,0.16039,0.16474,0.17643,0.14416,0.12078,0.14232,0.14812,0.13459,0.15392,0.14145,0.13353,0.14194,0.15865,0.13614,0.1688,0.12967
Bari3,167,0.19374,0.18686,0.23656,0.21662,0.18362,0.22094,0.17537,0.20552,0.18009,0.2012,0.23214,0.18814,0.18657,0.16732,0.17596,0.21308,0.18991,0.16447,0.1846,0.22222
Bari3,168,0.19331,0.17767,0.18966,0.18623,0.22369,0.1792,0.21656,0.1829,0.18956,0.1829,0.1913,0.18248,0.19542,0.17888,0.1616,0.18802,0.19119,0.19304,0.20393,0.1904
Bari3,169,0.13865,0.14987,0.14169,0.15045,0.11988,0.14663,0.11881,0.13066,0.1415,0.16259,0.13623,0.14556,0.13792,0.15621,0.14668,0.15664,0.15534,0.10764,0.13284,0.14276
Bari3,171,0.16354,0.13689,0.14699,0.14751,0.14039,0.1524,0.14568,0.13816,0.15001,0.15089,0.13494,0.15375,0.13983,0.14628,0.15415,0.14226,0.15554,0.14703,0.15741,0.15701
Bari3,172,0.13304,0.13312,0.16315,0.16708,0.15453,0.15123,0.15044,0.12495,0.15748,0.18554,0.12767,0.19182,0.15785,0.1543,0.17472,0.15021,0.1515,0.15967,0.15717,0.1748
Bari3,173,0.185,0.18147,0.20983,0.1717,0.17398,0.16773,0.17817,0.167,0.17266,0.19837,0.20623,0.1919,0.16906,0.20322,0.17853,0.16869,0.15715,0.19697,0.15546,0.15862
Bari3,175,0.13088,0.15198,0.13025,0.13324,0.13284,0.12113,0.13687,0.13757,0.13427,0.14502,0.14266,0.13051,0.13707,0.14056,0.13474,0.11624,0.13311,0.14499,0.1159,0.11374
Bari3,176,0.20836,0.20378,0.20024,0.17286,0.19009,0.19444,0.18028,0.1779,0.16746,0.18997,0.2043,0.19032,0.20245,0.209,0.16932,0.18968,0.16589,0.18759,0.19009,0.18249
