collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Karabace,1979,0.10803,0.12545,0.11769,0.14112,0.12454,0.15321,0.11686,0.11549,0.14925,0.1488,0.13807,0.11534,0.14104,0.12575,0.12682,0.13298,0.12575,0.13214,0.14849,0.10712
Karabace,1980,0.12229,0.11495,0.12599,0.15189,0.10797,0.09329,0.12495,0.1254,0.11788,0.11338,0.10725,0.09995,0.10554,0.12013,0.10644,0.10865,0.12198,0.1141,0.12779,0.13022
Karabace,1981,0.1043,0.12465,0.12041,0.10025,0.09598,0.10625,0.10975,0.09529,0.11004,0.09792,0.09439,0.09999,0.0892,0.10887,0.1125,0.10061,0.1055,0.10472,0.1196,0.09964
Karabace,1982,0.13585,0.16379,0.11988,0.14249,0.1273,0.12739,0.1321,0.1555,0.16012,0.12686,0.08784,0.13114,0.16012,0.15166,0.12023,0.16667,0.1383,0.12241,0.1073,0.128
Karabace,1983,0.09936,0.09606,0.08653,0.11239,0.09621,0.11239,0.10083,0.11041,0.10306,0.09342,0.10118,0.10225,0.10367,0.08906,0.09433,0.08206,0.11467,0.12005,0.10296,0.09895
Karabace,1984,0.13819,0.14905,0.13082,0.13406,0.12939,0.1249,0.14169,0.1337,0.15103,0.11879,0.15152,0.12885,0.13949,0.15121,0.12036,0.13805,0.14793,0.14515,0.16481,0.13675
Karabace,1985,0.13398,0.12362,0.13373,0.13579,0.09152,0.15048,0.12435,0.11731,0.14138,0.14048,0.15154,0.13362,0.12697,0.13334,0.14679,0.14076,0.12044,0.13473,0.12602,0.09548
Karabace,1986,0.15175,0.12038,0.15591,0.13485,0.09943,0.1608,0.11457,0.13287,0.13239,0.16268,0.14502,0.10117,0.17333,0.16235,0.13263,0.126,0.13364,0.15247,0.13127,0.14211
Karabace,1987,0.14092,0.14669,0.13685,0.15781,0.12614,0.18371,0.12743,0.14633,0.12789,0.15384,0.14679,0.13608,0.18933,0.14931,0.13314,0.15822,0.14488,0.13361,0.12125,0.17501
Karabace,1988,0.12181,0.11151,0.15262,0.1617,0.14643,0.15219,0.15702,0.1177,0.13614,0.1334,0.09905,0.11742,0.14888,0.13549,0.13513,0.16926,0.15169,0.14326,0.164,0.14254
Karabace,1990,0.13682,0.13729,0.12961,0.12563,0.13488,0.13265,0.11716,0.12964,0.13083,0.13996,0.13293,0.12371,0.13184,0.12534,0.11891,0.14231,0.1319,0.1207,0.12585,0.13729
Karabace,1991,0.11464,0.11881,0.10021,0.13554,0.0955,0.10909,0.12594,0.1167,0.11404,0.08342,0.1025,0.11887,0.1295,0.09332,0.12232,0.11307,0.1048,0.11766,0.14158,0.11011
Karabace,1992,0.1073,0.09248,0.08564,0.09065,0.1095,0.09939,0.09822,0.09648,0.09966,0.0996,0.10431,0.12683,0.09612,0.09712,0.08554,0.09382,0.11185,0.10458,0.09227,0.10641
Karabace,1993,0.15244,0.15522,0.12775,0.159,0.15352,0.13431,0.15719,0.11779,0.1472,0.16271,0.17359,0.10575,0.12289,0.16819,0.15484,0.15468,0.15221,0.17444,0.1323,0.13516
Karabace,1994,0.12697,0.14364,0.14334,0.11926,0.14116,0.12538,0.15544,0.14424,0.1206,0.1416,0.14673,0.14125,0.10791,0.13603,0.13807,0.14255,0.13543,0.15071,0.13424,0.14703
Karabace,1995,0.09994,0.08106,0.09878,0.09419,0.09923,0.08651,0.09874,0.09781,0.08897,0.1037,0.08169,0.05252,0.09602,0.09885,0.09311,0.08274,0.09594,0.08871,0.0805,0.12564
Karabace,1996,0.13926,0.10986,0.12391,0.12468,0.10432,0.10849,0.13325,0.13587,0.11361,0.16105,0.12099,0.1201,0.1248,0.11605,0.13278,0.11783,0.11932,0.10765,0.10271,0.10581
