"samp","genotypeLabels...3."
"2881_Sirna","Plate_16_Samp_66"
"2483_Oyali","Plate_16_Samp_67"
"746_Cudi1","Plate_16_Samp_68"
"179_Bari3","Plate_16_Samp_69"
"1302_Destek","Plate_16_Samp_7"
"920_Cudi2","Plate_16_Samp_70"
"2466_Oyali","Plate_16_Samp_71"
"2767_Sarikaya","Plate_16_Samp_72"
"263_Bari3","Plate_16_Samp_73"
"1724_Karab","Plate_16_Samp_74"
"2801_Savur","Plate_16_Samp_75"
"2544_S2Drd","Plate_16_Samp_76"
"1452_Egil","Plate_16_Samp_77"
"1459_Egil","Plate_16_Samp_78"
"1540_Gunas","Plate_16_Samp_79"
"2479_Oyali","Plate_16_Samp_8"
"1644_Kalkan","Plate_16_Samp_80"
"711_Cudi1","Plate_16_Samp_81"
"1401_Egil","Plate_16_Samp_82"
"1929_Karabace","Plate_16_Samp_83"
"2374_Oyali","Plate_16_Samp_84"
"1876_Karabace","Plate_16_Samp_85"
"1428_Egil","Plate_16_Samp_86"
"612_Cudi1","Plate_16_Samp_87"
"848_Cudi2","Plate_16_Samp_88"
"1687_Karab","Plate_16_Samp_89"
"1063_Cudi2","Plate_16_Samp_9"
"1708_Karab","Plate_16_Samp_90"
"2975_Sirnak","Plate_16_Samp_91"
"1374_Destek","Plate_16_Samp_92"
"458_Besev","Plate_16_Samp_93"
"2755_Sarikaya","Plate_16_Samp_94"
"45_Bari1","Plate_16_Samp_95"
"2441_Oyali","Plate_17_Samp_1"
"1615_Kalkan","Plate_17_Samp_10"
"1661_Kalkan","Plate_17_Samp_11"
"3012_Sirnak","Plate_17_Samp_12"
"1965_Karabace","Plate_17_Samp_13"
"3265_Sirnak","Plate_17_Samp_14"
"2028_Karabace","Plate_17_Samp_15"
"3028_Sirnak","Plate_17_Samp_16"
"3042_Sirnak","Plate_17_Samp_17"
"2501_S2Drd","Plate_17_Samp_18"
"2523_S2Drd","Plate_17_Samp_19"
"2221_Kesentas","Plate_17_Samp_2"
"2282_Kesentas","Plate_17_Samp_20"
"2312_Ortan","Plate_17_Samp_21"
"343_Bari3","Plate_17_Samp_22"
"3166_Sirnak","Plate_17_Samp_23"
"2861_Sirna","Plate_17_Samp_24"
"2061_Kayatape","Plate_17_Samp_25"
"880_Cudi2","Plate_17_Samp_26"
"732_Cudi1","Plate_17_Samp_27"
"90_Bari2","Plate_17_Samp_28"
"868_Cudi2","Plate_17_Samp_29"
"2541_S2Drd","Plate_17_Samp_3"
"985_Cudi2","Plate_17_Samp_30"
"727_Cudi1","Plate_17_Samp_31"
"2240_Kesentas","Plate_17_Samp_32"
"1163_Derici","Plate_17_Samp_33"
"638_Cudi1","Plate_17_Samp_34"
"2800_Savur","Plate_17_Samp_35"
"1742_Karabace","Plate_17_Samp_36"
"1684_Karab","Plate_17_Samp_37"
"2885_Sirna","Plate_17_Samp_38"
"2407_Oyali","Plate_17_Samp_39"
"451_Besev","Plate_17_Samp_4"
"1200_Derici","Plate_17_Samp_40"
"1427_Egil","Plate_17_Samp_41"
"1241_Destek","Plate_17_Samp_42"
"1559_Gunas","Plate_17_Samp_43"
"2783_Sarikaya","Plate_17_Samp_44"
"2174_Kesantas","Plate_17_Samp_45"
"1886_Karabace","Plate_17_Samp_46"
"264_Bari3","Plate_17_Samp_47"
"882_Cudi2","Plate_17_Samp_48"
"2799_Sarikaya","Plate_17_Samp_49"
"1620_Kalkan","Plate_17_Samp_5"
"2153_Kesantas","Plate_17_Samp_50"
"685_Cudi1","Plate_17_Samp_51"
"182_Bari3","Plate_17_Samp_52"
"2917_Sirna","Plate_17_Samp_53"
"623_Cudi1","Plate_17_Samp_54"
"515_Besev","Plate_17_Samp_55"
"1451_Egil","Plate_17_Samp_56"
"1858_Karabace","Plate_17_Samp_57"
"695_Cudi1","Plate_17_Samp_58"
"2382_Oyali","Plate_17_Samp_59"
"750_Cudi1","Plate_17_Samp_6"
"1778_Karabace","Plate_17_Samp_60"
"2131_Kayatepe","Plate_17_Samp_61"
"577_Cermik","Plate_17_Samp_62"
"2397_Oyali","Plate_17_Samp_63"
"563_Cermik","Plate_17_Samp_64"
"1595_Kalkan","Plate_17_Samp_65"
"932_Cudi2","Plate_17_Samp_66"
"1431_Egil","Plate_17_Samp_67"
"2724_Sarika","Plate_17_Samp_68"
"2697_S2Drd","Plate_17_Samp_69"
"2928_Sirnak","Plate_17_Samp_7"
"565_Cermik","Plate_17_Samp_70"
"2412_Oyali","Plate_17_Samp_71"
"967_Cudi2","Plate_17_Samp_72"
"3053_Sirnak","Plate_17_Samp_73"
"2780_Sarikaya","Plate_17_Samp_74"
"1679_Kalkan","Plate_17_Samp_75"
"1505_Gunas","Plate_17_Samp_76"
"2324_Ortan","Plate_17_Samp_77"
"1750_Karabace","Plate_17_Samp_78"
"1435_Egil","Plate_17_Samp_79"
"1495_Gunas","Plate_17_Samp_8"
"3272_Sirnak","Plate_17_Samp_80"
"1701_Karab","Plate_17_Samp_81"
"2871_Sirna","Plate_17_Samp_82"
"1087_Cudi2","Plate_17_Samp_83"
"1555_Gunas","Plate_17_Samp_84"
"2206_Kesentas","Plate_17_Samp_85"
"2597_S2Drd","Plate_17_Samp_86"
"1922_Karabace","Plate_17_Samp_87"
"2771_Sarikaya","Plate_17_Samp_88"
"2170_Kesantas","Plate_17_Samp_89"
"3111_Sirnak","Plate_17_Samp_9"
"1180_Derici","Plate_17_Samp_90"
"2047_Kayatape","Plate_17_Samp_91"
"1809_Karabace","Plate_17_Samp_92"
"3230_Sirnak","Plate_17_Samp_93"
"1613_Kalkan","Plate_17_Samp_94"
"345_Bari3","Plate_17_Samp_95"
"2748_Sarikaya","Plate_18_Samp_1"
"402_Bari3","Plate_18_Samp_10"
"2521_S2Drd","Plate_18_Samp_11"
"2181_Kesantas","Plate_18_Samp_12"
"1502_Gunas","Plate_18_Samp_13"
"930_Cudi2","Plate_18_Samp_14"
"233_Bari3","Plate_18_Samp_15"
"813_Cudi1","Plate_18_Samp_16"
"2668_S2Drd","Plate_18_Samp_17"
"2321_Ortan","Plate_18_Samp_18"
"2961_Sirnak","Plate_18_Samp_19"
"3155_Sirnak","Plate_18_Samp_2"
"1121_Derici","Plate_18_Samp_20"
"42_Bari1","Plate_18_Samp_21"
"147_Bari2","Plate_18_Samp_22"
"2002_Karabace","Plate_18_Samp_23"
"1845_Karabace","Plate_18_Samp_24"
"2808_Savur","Plate_18_Samp_25"
"1376_Destek","Plate_18_Samp_26"
"1379_Destek","Plate_18_Samp_27"
"3171_Sirnak","Plate_18_Samp_28"
"1885_Karabace","Plate_18_Samp_29"
"3091_Sirnak","Plate_18_Samp_3"
"431_Bari3","Plate_18_Samp_30"
"2591_S2Drd","Plate_18_Samp_31"
"3_Bari1","Plate_18_Samp_32"
"2951_Sirnak","Plate_18_Samp_33"
"1300_Destek","Plate_18_Samp_34"
"1627_Kalkan","Plate_18_Samp_35"
"214_Bari3","Plate_18_Samp_36"
"2128_Kayatepe","Plate_18_Samp_37"
"2526_S2Drd","Plate_18_Samp_38"
"247_Bari3","Plate_18_Samp_39"
"281_Bari3","Plate_18_Samp_4"
"158_Bari2","Plate_18_Samp_40"
"2659_S2Drd","Plate_18_Samp_41"
"2766_Sarikaya","Plate_18_Samp_42"
"2990_Sirnak","Plate_18_Samp_43"
"88_Bari2","Plate_18_Samp_44"
"307_Bari3","Plate_18_Samp_45"
"1928_Karabace","Plate_18_Samp_46"
"2346_Oyali","Plate_18_Samp_47"
"1583_Kalkan","Plate_18_Samp_48"
"1320_Destek","Plate_18_Samp_49"
"834_Cudi1","Plate_18_Samp_5"
"10_Bari1","Plate_18_Samp_50"
"3044_Sirnak","Plate_18_Samp_51"
"2064_Kayatape","Plate_18_Samp_52"
"2039_Karabace","Plate_18_Samp_53"
"1295_Destek","Plate_18_Samp_54"
"2045_Kayatape","Plate_18_Samp_55"
"1935_Karabace","Plate_18_Samp_56"
"3003_Sirnak","Plate_18_Samp_57"
"1244_Destek","Plate_18_Samp_58"
"1236_Destek","Plate_18_Samp_59"
"2050_Kayatape","Plate_18_Samp_6"
"2348_Oyali","Plate_18_Samp_60"
"2589_S2Drd","Plate_18_Samp_61"
"1228_Destek","Plate_18_Samp_62"
"2075_Kayatape","Plate_18_Samp_63"
"35_Bari1","Plate_18_Samp_64"
"1125_Derici","Plate_18_Samp_65"
"1844_Karabace","Plate_18_Samp_66"
"787_Cudi1","Plate_18_Samp_67"
"1769_Karabace","Plate_18_Samp_68"
"3254_Sirnak","Plate_18_Samp_69"
"2934_Sirnak","Plate_18_Samp_7"
"3081_Sirnak","Plate_18_Samp_70"
"2518_S2Drd","Plate_18_Samp_71"
"3109_Sirnak","Plate_18_Samp_72"
"857_Cudi2","Plate_18_Samp_73"
"327_Bari3","Plate_18_Samp_74"
"1570_Kalkan","Plate_18_Samp_75"
"2458_Oyali","Plate_18_Samp_76"
"2216_Kesentas","Plate_18_Samp_77"
"2343_Oyali","Plate_18_Samp_78"
"255_Bari3","Plate_18_Samp_79"
"1114_Derici","Plate_18_Samp_8"
"2210_Kesentas","Plate_18_Samp_80"
"1901_Karabace","Plate_18_Samp_81"
"1694_Karab","Plate_18_Samp_82"
"178_Bari3","Plate_18_Samp_83"
"2127_Kayatepe","Plate_18_Samp_84"
"456_Besev","Plate_18_Samp_85"
"1012_Cudi2","Plate_18_Samp_86"
"764_Cudi1","Plate_18_Samp_87"
"1872_Karabace","Plate_18_Samp_88"
"779_Cudi1","Plate_18_Samp_89"
"368_Bari3","Plate_18_Samp_9"
"375_Bari3","Plate_18_Samp_90"
"2445_Oyali","Plate_18_Samp_91"
"947_Cudi2","Plate_18_Samp_92"
"1122_Derici","Plate_18_Samp_93"
"2971_Sirnak","Plate_18_Samp_94"
"1641_Kalkan","Plate_18_Samp_95"
"202_Bari3","Plate_19_Samp_1"
"98_Bari2","Plate_19_Samp_10"
"1258_Destek","Plate_19_Samp_11"
"2880_Sirna","Plate_19_Samp_12"
"196_Bari3","Plate_19_Samp_13"
"1614_Kalkan","Plate_19_Samp_14"
"271_Bari3","Plate_19_Samp_15"
"1543_Gunas","Plate_19_Samp_16"
"1943_Karabace","Plate_19_Samp_17"
"3033_Sirnak","Plate_19_Samp_18"
"1951_Karabace","Plate_19_Samp_19"
"163_Bari3","Plate_19_Samp_2"
"1001_Cudi2","Plate_19_Samp_20"
"2003_Karabace","Plate_19_Samp_21"
"1288_Destek","Plate_19_Samp_22"
"1433_Egil","Plate_19_Samp_23"
"584_Cermik","Plate_19_Samp_24"
"2474_Oyali","Plate_19_Samp_25"
"2422_Oyali","Plate_19_Samp_26"
"1672_Kalkan","Plate_19_Samp_27"
"2398_Oyali","Plate_19_Samp_28"
"330_Bari3","Plate_19_Samp_29"
"2103_Kayatape","Plate_19_Samp_3"
"1522_Gunas","Plate_19_Samp_30"
"578_Cermik","Plate_19_Samp_31"
"2716_Sarika","Plate_19_Samp_32"
"2440_Oyali","Plate_19_Samp_33"
"2813_Savur","Plate_19_Samp_34"
"2803_Savur","Plate_19_Samp_35"
"1588_Kalkan","Plate_19_Samp_36"
"521_Cermik","Plate_19_Samp_37"
"1909_Karabace","Plate_19_Samp_38"
"2410_Oyali","Plate_19_Samp_39"
"2607_S2Drd","Plate_19_Samp_4"
"3175_Sirnak","Plate_19_Samp_40"
"1440_Egil","Plate_19_Samp_41"
"2159_Kesantas","Plate_19_Samp_42"
"2145_Kesantas","Plate_19_Samp_43"
"1516_Gunas","Plate_19_Samp_44"
"1084_Cudi2","Plate_19_Samp_45"
"258_Bari3","Plate_19_Samp_46"
"2979_Sirnak","Plate_19_Samp_47"
"296_Bari3","Plate_19_Samp_48"
"1210_Derici","Plate_19_Samp_49"
"1927_Karabace","Plate_19_Samp_5"
"138_Bari2","Plate_19_Samp_50"
"1078_Cudi2","Plate_19_Samp_51"
"3067_Sirnak","Plate_19_Samp_52"
"1203_Derici","Plate_19_Samp_53"
"2037_Karabace","Plate_19_Samp_54"
"389_Bari3","Plate_19_Samp_55"
"2960_Sirnak","Plate_19_Samp_56"
"139_Bari2","Plate_19_Samp_57"
"18_Bari1","Plate_19_Samp_58"
"1168_Derici","Plate_19_Samp_59"
"16_Bari1","Plate_19_Samp_6"
"3289_Sirnak","Plate_19_Samp_60"
"1913_Karabace","Plate_19_Samp_61"
"819_Cudi1","Plate_19_Samp_62"
"539_Cermik","Plate_19_Samp_63"
"215_Bari3","Plate_19_Samp_64"
"2293_Ortan","Plate_19_Samp_65"
"2545_S2Drd","Plate_19_Samp_66"
"490_Besev","Plate_19_Samp_67"
"2687_S2Drd","Plate_19_Samp_68"
"127_Bari2","Plate_19_Samp_69"
"2661_S2Drd","Plate_19_Samp_7"
"617_Cudi1","Plate_19_Samp_70"
"2719_Sarika","Plate_19_Samp_71"
"2508_S2Drd","Plate_19_Samp_72"
"1832_Karabace","Plate_19_Samp_73"
"2735_Sarikaya","Plate_19_Samp_74"
"1830_Karabace","Plate_19_Samp_75"
"2827_Savur-Pina","Plate_19_Samp_76"
"2756_Sarikaya","Plate_19_Samp_77"
"2891_Sirna","Plate_19_Samp_78"
"435_Besev","Plate_19_Samp_79"
"1372_Destek","Plate_19_Samp_8"
"3245_Sirnak","Plate_19_Samp_80"
"3052_Sirnak","Plate_19_Samp_81"
"2852_Sirna","Plate_19_Samp_82"
"1874_Karabace","Plate_19_Samp_83"
"1015_Cudi2","Plate_19_Samp_84"
"2622_S2Drd","Plate_19_Samp_85"
"949_Cudi2","Plate_19_Samp_86"
"1831_Karabace","Plate_19_Samp_87"
"473_Besev","Plate_19_Samp_88"
"2768_Sarikaya","Plate_19_Samp_89"
"2996_Sirnak","Plate_19_Samp_9"
"149_Bari2","Plate_19_Samp_90"
"120_Bari2","Plate_19_Samp_91"
"902_Cudi2","Plate_19_Samp_92"
"1278_Destek","Plate_19_Samp_93"
"1977_Karabace","Plate_19_Samp_94"
"2352_Oyali","Plate_19_Samp_95"
"1327_Destek","Plate_1_Samp_1"
"2994_Sirnak","Plate_1_Samp_10"
"953_Cudi2","Plate_1_Samp_11"
"838_Cudi1","Plate_1_Samp_12"
"262_Bari3","Plate_1_Samp_13"
"540_Cermik","Plate_1_Samp_14"
"1561_Kalkan","Plate_1_Samp_15"
"1866_Karabace","Plate_1_Samp_16"
"793_Cudi1","Plate_1_Samp_17"
"3068_Sirnak","Plate_1_Samp_18"
"359_Bari3","Plate_1_Samp_19"
"1308_Destek","Plate_1_Samp_2"
"2007_Karabace","Plate_1_Samp_20"
"718_Cudi1","Plate_1_Samp_21"
"3048_Sirnak","Plate_1_Samp_22"
"394_Bari3","Plate_1_Samp_23"
"1567_Kalkan","Plate_1_Samp_24"
"3030_Sirnak","Plate_1_Samp_25"
"470_Besev","Plate_1_Samp_26"
"794_Cudi1","Plate_1_Samp_27"
"410_Bari3","Plate_1_Samp_28"
"145_Bari2","Plate_1_Samp_29"
"1146_Derici","Plate_1_Samp_3"
"1828_Karabace","Plate_1_Samp_30"
"2681_S2Drd","Plate_1_Samp_31"
"1021_Cudi2","Plate_1_Samp_32"
"970_Cudi2","Plate_1_Samp_33"
"1497_Gunas","Plate_1_Samp_34"
"1923_Karabace","Plate_1_Samp_35"
"2471_Oyali","Plate_1_Samp_36"
"2201_Kesentas","Plate_1_Samp_37"
"747_Cudi1","Plate_1_Samp_38"
"1057_Cudi2","Plate_1_Samp_39"
"2211_Kesentas","Plate_1_Samp_4"
"755_Cudi1","Plate_1_Samp_40"
"615_Cudi1","Plate_1_Samp_41"
"895_Cudi2","Plate_1_Samp_42"
"228_Bari3","Plate_1_Samp_43"
"224_Bari3","Plate_1_Samp_44"
"168_Bari3","Plate_1_Samp_45"
"1982_Karabace","Plate_1_Samp_46"
"1000_Cudi2","Plate_1_Samp_47"
"523_Cermik","Plate_1_Samp_48"
"143_Bari2","Plate_1_Samp_49"
"2924_Sirna","Plate_1_Samp_5"
"3087_Sirnak","Plate_1_Samp_50"
"2546_S2Drd","Plate_1_Samp_51"
"1358_Destek","Plate_1_Samp_52"
"657_Cudi1","Plate_1_Samp_53"
"436_Besev","Plate_1_Samp_54"
"469_Besev","Plate_1_Samp_55"
"2238_Kesentas","Plate_1_Samp_56"
"926_Cudi2","Plate_1_Samp_57"
"774_Cudi1","Plate_1_Samp_58"
"2325_Ortan","Plate_1_Samp_59"
"1815_Karabace","Plate_1_Samp_6"
"2770_Sarikaya","Plate_1_Samp_60"
"2602_S2Drd","Plate_1_Samp_61"
"1576_Kalkan","Plate_1_Samp_62"
"1249_Destek","Plate_1_Samp_63"
"57_Bari1","Plate_1_Samp_64"
"2111_Kayatepe","Plate_1_Samp_65"
"73_Bari1","Plate_1_Samp_66"
"3041_Sirnak","Plate_1_Samp_67"
"15_Bari1","Plate_1_Samp_68"
"2652_S2Drd","Plate_1_Samp_69"
"216_Bari3","Plate_1_Samp_7"
"2228_Kesentas","Plate_1_Samp_70"
"2404_Oyali","Plate_1_Samp_71"
"63_Bari1","Plate_1_Samp_72"
"2882_Sirna","Plate_1_Samp_73"
"1461_Egil","Plate_1_Samp_74"
"3154_Sirnak","Plate_1_Samp_75"
"1552_Gunas","Plate_1_Samp_76"
"576_Cermik","Plate_1_Samp_77"
"83_Bari2","Plate_1_Samp_78"
"2191_Kesentas","Plate_1_Samp_79"
"167_Bari3","Plate_1_Samp_8"
"2655_S2Drd","Plate_1_Samp_80"
"2470_Oyali","Plate_1_Samp_81"
"1606_Kalkan","Plate_1_Samp_82"
"613_Cudi1","Plate_1_Samp_83"
"2537_S2Drd","Plate_1_Samp_84"
"707_Cudi1","Plate_1_Samp_85"
"2918_Sirna","Plate_1_Samp_86"
"2489_Oyali","Plate_1_Samp_87"
"1325_Destek","Plate_1_Samp_88"
"1902_Karabace","Plate_1_Samp_89"
"2892_Sirna","Plate_1_Samp_9"
"605_Cudi1","Plate_1_Samp_90"
"2364_Oyali","Plate_1_Samp_91"
"1558_Gunas","Plate_1_Samp_92"
"1528_Gunas","Plate_1_Samp_93"
"3006_Sirnak","Plate_1_Samp_94"
"1384_Destek","Plate_1_Samp_95"
"3137_Sirnak","Plate_20_Samp_1"
"2371_Oyali","Plate_20_Samp_10"
"1693_Karab","Plate_20_Samp_11"
"348_Bari3","Plate_20_Samp_12"
"968_Cudi2","Plate_20_Samp_13"
"2067_Kayatape","Plate_20_Samp_14"
"595_Cermik","Plate_20_Samp_15"
"2737_Sarikaya","Plate_20_Samp_16"
"1014_Cudi2","Plate_20_Samp_17"
"2962_Sirnak","Plate_20_Samp_18"
"917_Cudi2","Plate_20_Samp_19"
"2350_Oyali","Plate_20_Samp_2"
"2569_S2Drd","Plate_20_Samp_20"
"1690_Karab","Plate_20_Samp_21"
"2267_Kesentas","Plate_20_Samp_22"
"2744_Sarikaya","Plate_20_Samp_23"
"988_Cudi2","Plate_20_Samp_24"
"2798_Sarikaya","Plate_20_Samp_25"
"2702_Sarika","Plate_20_Samp_26"
"1689_Karab","Plate_20_Samp_27"
"438_Besev","Plate_20_Samp_28"
"3112_Sirnak","Plate_20_Samp_29"
"1817_Karabace","Plate_20_Samp_3"
"1887_Karabace","Plate_20_Samp_30"
"180_Bari3","Plate_20_Samp_31"
"801_Cudi1","Plate_20_Samp_32"
"2402_Oyali","Plate_20_Samp_33"
"2213_Kesentas","Plate_20_Samp_34"
"1115_Derici","Plate_20_Samp_35"
"2570_S2Drd","Plate_20_Samp_36"
"2613_S2Drd","Plate_20_Samp_37"
"3037_Sirnak","Plate_20_Samp_38"
"412_Bari3","Plate_20_Samp_39"
"2933_Sirnak","Plate_20_Samp_4"
"1176_Derici","Plate_20_Samp_40"
"888_Cudi2","Plate_20_Samp_41"
"661_Cudi1","Plate_20_Samp_42"
"2506_S2Drd","Plate_20_Samp_43"
"790_Cudi1","Plate_20_Samp_44"
"1077_Cudi2","Plate_20_Samp_45"
"1642_Kalkan","Plate_20_Samp_46"
"2574_S2Drd","Plate_20_Samp_47"
"3146_Sirnak","Plate_20_Samp_48"
"2986_Sirnak","Plate_20_Samp_49"
"317_Bari3","Plate_20_Samp_5"
"1578_Kalkan","Plate_20_Samp_50"
"2011_Karabace","Plate_20_Samp_51"
"843_Cudi2","Plate_20_Samp_52"
"2456_Oyali","Plate_20_Samp_53"
"767_Cudi1","Plate_20_Samp_54"
"319_Bari3","Plate_20_Samp_55"
"1655_Kalkan","Plate_20_Samp_56"
"374_Bari3","Plate_20_Samp_57"
"1466_Egil","Plate_20_Samp_58"
"725_Cudi1","Plate_20_Samp_59"
"106_Bari2","Plate_20_Samp_6"
"559_Cermik","Plate_20_Samp_60"
"1395_Egil","Plate_20_Samp_61"
"3185_Sirnak","Plate_20_Samp_62"
"1551_Gunas","Plate_20_Samp_63"
"3251_Sirnak","Plate_20_Samp_64"
"2764_Sarikaya","Plate_20_Samp_65"
"840_Cudi2","Plate_20_Samp_66"
"825_Cudi1","Plate_20_Samp_67"
"639_Cudi1","Plate_20_Samp_68"
"2249_Kesentas","Plate_20_Samp_69"
"266_Bari3","Plate_20_Samp_7"
"3207_Sirnak","Plate_20_Samp_70"
"1039_Cudi2","Plate_20_Samp_71"
"1737_Karabace","Plate_20_Samp_72"
"3070_Sirnak","Plate_20_Samp_73"
"2806_Savur","Plate_20_Samp_74"
"2598_S2Drd","Plate_20_Samp_75"
"1454_Egil","Plate_20_Samp_76"
"1880_Karabace","Plate_20_Samp_77"
"3097_Sirnak","Plate_20_Samp_78"
"574_Cermik","Plate_20_Samp_79"
"835_Cudi1","Plate_20_Samp_8"
"391_Bari3","Plate_20_Samp_80"
"2623_S2Drd","Plate_20_Samp_81"
"1276_Destek","Plate_20_Samp_82"
"1024_Cudi2","Plate_20_Samp_83"
"1305_Destek","Plate_20_Samp_84"
"2849_Sirna","Plate_20_Samp_85"
"1108_Derici","Plate_20_Samp_86"
"955_Cudi2","Plate_20_Samp_87"
"237_Bari3","Plate_20_Samp_88"
"1682_Karab","Plate_20_Samp_89"
"454_Besev","Plate_20_Samp_9"
"2937_Sirnak","Plate_20_Samp_90"
"2775_Sarikaya","Plate_20_Samp_91"
"3279_Sirnak","Plate_20_Samp_92"
"3284_Sirnak","Plate_20_Samp_93"
"922_Cudi2","Plate_20_Samp_94"
"730_Cudi1","Plate_20_Samp_95"
"114_Bari2","Plate_21_Samp_1"
"1700_Karab","Plate_21_Samp_10"
"2729_Sarikaya","Plate_21_Samp_11"
"2401_Oyali","Plate_21_Samp_12"
"2763_Sarikaya","Plate_21_Samp_13"
"1020_Cudi2","Plate_21_Samp_14"
"986_Cudi2","Plate_21_Samp_15"
"1393_Egil","Plate_21_Samp_16"
"2233_Kesentas","Plate_21_Samp_17"
"533_Cermik","Plate_21_Samp_18"
"3011_Sirnak","Plate_21_Samp_19"
"2375_Oyali","Plate_21_Samp_2"
"191_Bari3","Plate_21_Samp_20"
"1264_Destek","Plate_21_Samp_21"
"2566_S2Drd","Plate_21_Samp_22"
"2725_Sarikaya","Plate_21_Samp_23"
"1208_Derici","Plate_21_Samp_24"
"2630_S2Drd","Plate_21_Samp_25"
"2914_Sirna","Plate_21_Samp_26"
"64_Bari1","Plate_21_Samp_27"
"884_Cudi2","Plate_21_Samp_28"
"1275_Destek","Plate_21_Samp_29"
"1368_Destek","Plate_21_Samp_3"
"548_Cermik","Plate_21_Samp_30"
"2480_Oyali","Plate_21_Samp_31"
"2217_Kesentas","Plate_21_Samp_32"
"1507_Gunas","Plate_21_Samp_33"
"2209_Kesentas","Plate_21_Samp_34"
"3126_Sirnak","Plate_21_Samp_35"
"1471_Egil","Plate_21_Samp_36"
"312_Bari3","Plate_21_Samp_37"
"181_Bari3","Plate_21_Samp_38"
"513_Besev","Plate_21_Samp_39"
"1362_Destek","Plate_21_Samp_4"
"2369_Oyali","Plate_21_Samp_40"
"505_Besev","Plate_21_Samp_41"
"3134_Sirnak","Plate_21_Samp_42"
"2745_Sarikaya","Plate_21_Samp_43"
"3177_Sirnak","Plate_21_Samp_44"
"3239_Sirnak","Plate_21_Samp_45"
"480_Besev","Plate_21_Samp_46"
"40_Bari1","Plate_21_Samp_47"
"1123_Derici","Plate_21_Samp_48"
"2009_Karabace","Plate_21_Samp_49"
"708_Cudi1","Plate_21_Samp_5"
"897_Cudi2","Plate_21_Samp_50"
"2255_Kesentas","Plate_21_Samp_51"
"2276_Kesentas","Plate_21_Samp_52"
"240_Bari3","Plate_21_Samp_53"
"2708_Sarika","Plate_21_Samp_54"
"629_Cudi1","Plate_21_Samp_55"
"144_Bari2","Plate_21_Samp_56"
"13_Bari1","Plate_21_Samp_57"
"3021_Sirnak","Plate_21_Samp_58"
"1586_Kalkan","Plate_21_Samp_59"
"736_Cudi1","Plate_21_Samp_6"
"80_Bari1","Plate_21_Samp_60"
"1791_Karabace","Plate_21_Samp_61"
"587_Cermik","Plate_21_Samp_62"
"1160_Derici","Plate_21_Samp_63"
"1490_Egil","Plate_21_Samp_64"
"2124_Kayatepe","Plate_21_Samp_65"
"754_Cudi1","Plate_21_Samp_66"
"1772_Karabace","Plate_21_Samp_67"
"135_Bari2","Plate_21_Samp_68"
"2450_Oyali","Plate_21_Samp_69"
"234_Bari3","Plate_21_Samp_7"
"3005_Sirnak","Plate_21_Samp_70"
"1252_Destek","Plate_21_Samp_71"
"731_Cudi1","Plate_21_Samp_72"
"2781_Sarikaya","Plate_21_Samp_73"
"1933_Karabace","Plate_21_Samp_74"
"1035_Cudi2","Plate_21_Samp_75"
"2187_Kesantas","Plate_21_Samp_76"
"1625_Kalkan","Plate_21_Samp_77"
"1854_Karabace","Plate_21_Samp_78"
"1071_Cudi2","Plate_21_Samp_79"
"785_Cudi1","Plate_21_Samp_8"
"2133_Kesantas","Plate_21_Samp_80"
"1765_Karabace","Plate_21_Samp_81"
"588_Cermik","Plate_21_Samp_82"
"3210_Sirnak","Plate_21_Samp_83"
"1321_Destek","Plate_21_Samp_84"
"3023_Sirnak","Plate_21_Samp_85"
"253_Bari3","Plate_21_Samp_86"
"413_Bari3","Plate_21_Samp_87"
"1328_Destek","Plate_21_Samp_88"
"1920_Karabace","Plate_21_Samp_89"
"1730_Karabace","Plate_21_Samp_9"
"1812_Karabace","Plate_21_Samp_90"
"1446_Egil","Plate_21_Samp_91"
"17_Bari1","Plate_21_Samp_92"
"1936_Karabace","Plate_21_Samp_93"
"1470_Egil","Plate_21_Samp_94"
"2388_Oyali","Plate_21_Samp_95"
"1363_Destek","Plate_22_Samp_1"
"1533_Gunas","Plate_22_Samp_10"
"1118_Derici","Plate_22_Samp_11"
"2043_Kayatape","Plate_22_Samp_12"
"2090_Kayatape","Plate_22_Samp_13"
"1580_Kalkan","Plate_22_Samp_14"
"561_Cermik","Plate_22_Samp_15"
"1455_Egil","Plate_22_Samp_16"
"305_Bari3","Plate_22_Samp_17"
"217_Bari3","Plate_22_Samp_18"
"1055_Cudi2","Plate_22_Samp_19"
"1758_Karabace","Plate_22_Samp_2"
"1979_Karabace","Plate_22_Samp_20"
"1385_Destek","Plate_22_Samp_21"
"2844_Sirna","Plate_22_Samp_22"
"3255_Sirnak","Plate_22_Samp_23"
"295_Bari3","Plate_22_Samp_24"
"2790_Sarikaya","Plate_22_Samp_25"
"3178_Sirnak","Plate_22_Samp_26"
"2099_Kayatape","Plate_22_Samp_27"
"854_Cudi2","Plate_22_Samp_28"
"1279_Destek","Plate_22_Samp_29"
"2437_Oyali","Plate_22_Samp_3"
"516_Besev","Plate_22_Samp_30"
"3096_Sirnak","Plate_22_Samp_31"
"235_Bari3","Plate_22_Samp_32"
"1882_Karabace","Plate_22_Samp_33"
"1202_Derici","Plate_22_Samp_34"
"1155_Derici","Plate_22_Samp_35"
"344_Bari3","Plate_22_Samp_36"
"248_Bari3","Plate_22_Samp_37"
"1230_Destek","Plate_22_Samp_38"
