"samp","genotypeLabels...3."
"291_Bari3","Plate_11_Samp_54"
"2847_Sirna","Plate_11_Samp_55"
"1403_Egil","Plate_11_Samp_56"
"1986_Karabace","Plate_11_Samp_57"
"3138_Sirnak","Plate_11_Samp_58"
"205_Bari3","Plate_11_Samp_59"
"519_Besev","Plate_11_Samp_6"
"1619_Kalkan","Plate_11_Samp_60"
"2093_Kayatape","Plate_11_Samp_61"
"2165_Kesantas","Plate_11_Samp_62"
"111_Bari2","Plate_11_Samp_63"
"1804_Karabace","Plate_11_Samp_64"
"554_Cermik","Plate_11_Samp_65"
"3076_Sirnak","Plate_11_Samp_66"
"3290_Sirnak","Plate_11_Samp_67"
"2504_S2Drd","Plate_11_Samp_68"
"862_Cudi2","Plate_11_Samp_69"
"1052_Cudi2","Plate_11_Samp_7"
"2438_Oyali","Plate_11_Samp_70"
"1743_Karabace","Plate_11_Samp_71"
"1216_Derici","Plate_11_Samp_72"
"2449_Oyali","Plate_11_Samp_73"
"1607_Kalkan","Plate_11_Samp_74"
"1479_Egil","Plate_11_Samp_75"
"2400_Oyali","Plate_11_Samp_76"
"2347_Oyali","Plate_11_Samp_77"
"1759_Karabace","Plate_11_Samp_78"
"3226_Sirnak","Plate_11_Samp_79"
"3002_Sirnak","Plate_11_Samp_8"
"376_Bari3","Plate_11_Samp_80"
"1031_Cudi2","Plate_11_Samp_81"
"2162_Kesantas","Plate_11_Samp_82"
"723_Cudi1","Plate_11_Samp_83"
"1813_Karabace","Plate_11_Samp_84"
"198_Bari3","Plate_11_Samp_85"
"2192_Kesentas","Plate_11_Samp_86"
"2427_Oyali","Plate_11_Samp_87"
"4_Bari1","Plate_11_Samp_88"
"1101_Cudi2","Plate_11_Samp_89"
"3217_Sirnak","Plate_11_Samp_9"
"280_Bari3","Plate_11_Samp_90"
"1476_Egil","Plate_11_Samp_91"
"1945_Karabace","Plate_11_Samp_92"
"221_Bari3","Plate_11_Samp_93"
"1930_Karabace","Plate_11_Samp_94"
