collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Egil,1424,0.17961,0.15927,0.16836,0.17968,0.20204,0.16778,0.17738,0.16165,0.17406,0.18177,0.16778,0.14874,0.20153,0.16951,0.20218,0.17247,0.15704,0.18574,0.16634,0.15826
Egil,1425,0.19364,0.2051,0.18487,0.1527,0.21545,0.17981,0.19435,0.1855,0.18645,0.19672,0.22185,0.20644,0.22502,0.1772,0.18827,0.18368,0.19103,0.19917,0.18763,0.19625
Egil,1426,0.16967,0.17381,0.16138,0.17019,0.17819,0.16912,0.16673,0.19545,0.18137,0.16646,0.17557,0.17861,0.16411,0.18862,0.17274,0.16912,0.13315,0.16011,0.17193,0.17115
Egil,1427,0.14165,0.16496,0.14078,0.15544,0.1358,0.11932,0.1623,0.13441,0.15655,0.16564,0.13218,0.16749,0.13701,0.15772,0.15618,0.12612,0.1503,0.14208,0.10652,0.15352
Egil,1428,0.1394,0.11378,0.12758,0.1504,0.14376,0.14179,0.13442,0.16627,0.15309,0.13712,0.10268,0.16264,0.1199,0.12893,0.11326,0.13515,0.14988,0.13463,0.13048,0.15123
Egil,1431,0.1854,0.16556,0.23132,0.19962,0.19309,0.19858,0.18963,0.20457,0.20045,0.17249,0.17754,0.22111,0.18671,0.1955,0.20215,0.19556,0.17622,0.17292,0.2088,0.19034
Egil,1432,0.17353,0.16987,0.15639,0.17563,0.15132,0.16855,0.16142,0.16887,0.19556,0.17435,0.16983,0.15671,0.16608,0.17339,0.15858,0.16215,0.18687,0.16909,0.17289,0.14862
Egil,1433,0.18763,0.19731,0.18107,0.20043,0.19876,0.21162,0.20538,0.19139,0.21216,0.20447,0.17902,0.1965,0.18505,0.18564,0.17482,0.16078,0.2021,0.20619,0.19091,0.21706
Egil,1434,0.19499,0.16353,0.17964,0.17482,0.1539,0.17881,0.18378,0.19845,0.17618,0.20598,0.17881,0.17098,0.16346,0.18965,0.16135,0.18092,0.15842,0.15458,0.16978,0.15473
Egil,1435,0.15213,0.15076,0.16632,0.1615,0.15233,0.14782,0.16348,0.1805,0.16591,0.1539,0.19717,0.17376,0.14807,0.14503,0.15101,0.14498,0.17022,0.15714,0.15051,0.17123
Egil,1436,0.13885,0.15532,0.15001,0.13943,0.1516,0.14764,0.1558,0.14073,0.16117,0.12633,0.13885,0.1574,0.18069,0.14363,0.13556,0.15223,0.12015,0.14199,0.15551,0.1573
Egil,1437,0.20055,0.17864,0.15759,0.18704,0.15935,0.16857,0.16826,0.15492,0.18534,0.18642,0.1682,0.1648,0.1678,0.16377,0.17405,0.17399,0.19181,0.15861,0.17569,0.17677
Egil,1438,0.20515,0.19994,0.18193,0.18584,0.17953,0.20487,0.19934,0.20565,0.19976,0.16976,0.19782,0.18312,0.17465,0.16364,0.191,0.18225,0.17359,0.19321,0.21662,0.19989
Egil,1439,0.20521,0.16653,0.1762,0.19333,0.17841,0.17934,0.15573,0.19174,0.1635,0.16396,0.16987,0.16689,0.17924,0.16108,0.17466,0.17785,0.16478,0.18253,0.16612,0.16432
Egil,1440,0.1637,0.1319,0.15144,0.1199,0.1639,0.16193,0.15951,0.17059,0.15197,0.13879,0.16134,0.16331,0.12915,0.11728,0.16403,0.13544,0.13924,0.12941,0.15977,0.14259
Egil,1442,0.18098,0.1551,0.1723,0.18202,0.17246,0.16191,0.18471,0.18691,0.19493,0.17428,0.17455,0.164,0.18856,0.18081,0.16268,0.18048,0.15263,0.179,0.18131,0.1517
Egil,1443,0.11666,0.17689,0.14696,0.15267,0.17513,0.15691,0.13869,0.18127,0.18445,0.1543,0.14025,0.1382,0.14293,0.15119,0.15119,0.13975,0.14858,0.15317,0.16228,0.15663
Egil,1444,0.20958,0.1849,0.19242,0.17801,0.1929,0.20097,0.16463,0.21393,0.18104,0.18642,0.18725,0.17897,0.18511,0.19793,0.21779,0.20441,0.20007,0.19469,0.2162,0.18614
Egil,1446,0.13783,0.14675,0.14377,0.12191,0.12112,0.09007,0.14718,0.13555,0.1394,0.15925,0.13669,0.12768,0.16809,0.1457,0.11824,0.15296,0.13494,0.13625,0.13442,0.13258
Egil,1447,0.16952,0.15698,0.17308,0.18976,0.18331,0.17224,0.17257,0.19128,0.16992,0.15924,0.18631,0.17144,0.16381,0.17371,0.15675,0.16093,0.20338,0.18444,0.17416,0.16975
Egil,1448,0.16449,0.15385,0.15151,0.17681,0.13582,0.15235,0.17663,0.12825,0.14628,0.16034,0.18186,0.17056,0.17993,0.12471,0.14201,0.16016,0.16016,0.16142,0.13943,0.15433
Egil,1449,0.17562,0.17855,0.17002,0.16549,0.19321,0.16274,0.16558,0.17651,0.16211,0.16318,0.17313,0.14639,0.17055,0.14194,0.16602,0.17118,0.16131,0.14523,0.15038,0.13999
Egil,1450,0.15651,0.16143,0.15854,0.1436,0.16372,0.15377,0.15575,0.14276,0.13215,0.15225,0.14382,0.14743,0.17351,0.15215,0.15316,0.15697,0.12018,0.17889,0.14433,0.14093
Egil,1451,0.16074,0.14282,0.16433,0.17204,0.14236,0.1594,0.18155,0.16166,0.18764,0.16607,0.19605,0.15749,0.15627,0.1619,0.16584,0.15581,0.17784,0.17564,0.16184,0.17622
Egil,1452,0.17363,0.15631,0.17257,0.1693,0.16541,0.16101,0.19194,0.15356,0.16626,0.20371,0.17499,0.15477,0.17814,0.17363,0.16699,0.18717,0.17018,0.16637,0.17055,0.1799
Egil,1453,0.18204,0.14823,0.1663,0.16424,0.15534,0.15794,0.157,0.16652,0.15825,0.16751,0.15132,0.17998,0.15624,0.16648,0.16518,0.16782,0.17529,0.14832,0.12033,0.17117
Egil,1454,0.15368,0.18206,0.14314,0.14538,0.17071,0.16066,0.16978,0.16427,0.18097,0.17431,0.18272,0.15974,0.18419,0.16176,0.15717,0.16552,0.16427,0.13698,0.18348,0.13801
Egil,1455,0.16959,0.13692,0.15921,0.18486,0.17522,0.18801,0.17105,0.15439,0.19181,0.17895,0.17039,0.13108,0.17602,0.17208,0.17624,0.17536,0.16053,0.17595,0.17237,0.17281
Egil,1457,0.18145,0.18725,0.17994,0.17669,0.19284,0.17462,0.15745,0.18614,0.16621,0.18587,0.20056,0.16552,0.18676,0.17945,0.18573,0.18725,0.18345,0.14896,0.16779,0.18049
Egil,1459,0.17517,0.16432,0.16886,0.16636,0.14806,0.16228,0.16524,0.17965,0.16339,0.19748,0.16524,0.17155,0.18623,0.19235,0.1759,0.14214,0.18392,0.15918,0.1657,0.16583
Egil,1460,0.14268,0.14284,0.14692,0.13087,0.1321,0.13634,0.12459,0.15977,0.1453,0.14796,0.14627,0.14479,0.14032,0.14035,0.13854,0.1387,0.12922,0.1296,0.15265,0.12666
Egil,1461,0.2105,0.17642,0.19424,0.20333,0.21134,0.21375,0.20111,0.19948,0.17191,0.1772,0.21182,0.1707,0.16817,0.19587,0.18491,0.20309,0.19773,0.16041,0.2008,0.19828
Egil,1463,0.17165,0.16272,0.17836,0.19127,0.19391,0.20478,0.19632,0.20686,0.20587,0.21608,0.21178,0.20677,0.18805,0.17354,0.16627,0.19368,0.17194,0.18749,0.1692,0.18612
Egil,1464,0.17057,0.15623,0.18266,0.17801,0.17498,0.16026,0.17379,0.17825,0.15758,0.17959,0.18309,0.1734,0.20304,0.15681,0.18366,0.17287,0.17129,0.15077,0.16841,0.18366
Egil,1465,0.19654,0.18224,0.19767,0.20158,0.20403,0.22886,0.16581,0.18654,0.19906,0.17846,0.19919,0.19237,0.20727,0.21542,0.19403,0.15998,0.18846,0.17164,0.18158,0.19078
Egil,1466,0.14189,0.13062,0.13289,0.14624,0.14207,0.13326,0.14999,0.13319,0.14888,0.12955,0.15419,0.14624,0.1391,0.14561,0.14159,0.14527,0.14665,0.12765,0.16423,0.14404
Egil,1467,0.1745,0.13781,0.15157,0.16354,0.15872,0.13754,0.1481,0.15237,0.13941,0.11862,0.16046,0.15191,0.15699,0.12898,0.12912,0.16494,0.17236,0.14857,0.14756,0.18506
Egil,1468,0.16324,0.15223,0.16712,0.18085,0.15441,0.16535,0.16107,0.15407,0.17249,0.17208,0.18295,0.14918,0.18526,0.16073,0.1576,0.17486,0.16107,0.16311,0.13912,0.14612
Egil,1470,0.13065,0.14996,0.16884,0.16428,0.14909,0.16165,0.16247,0.16159,0.15764,0.16763,0.16428,0.16774,0.14678,0.14486,0.18036,0.14859,0.14744,0.16878,0.17224,0.16417
Egil,1471,0.16658,0.15984,0.14879,0.15605,0.17363,0.17559,0.16,0.16242,0.12606,0.17041,0.15834,0.15601,0.15825,0.15779,0.16134,0.16217,0.14637,0.18079,0.17017,0.1543
Egil,1472,0.16079,0.16765,0.17912,0.16879,0.16684,0.16181,0.16586,0.16114,0.15896,0.16489,0.15089,0.15892,0.17955,0.12575,0.16765,0.16457,0.17686,0.16664,0.19144,0.14641
Egil,1473,0.15379,0.17279,0.14201,0.15948,0.14319,0.15882,0.15869,0.17314,0.17152,0.15878,0.15777,0.15383,0.16241,0.16587,0.12923,0.15698,0.16311,0.16964,0.17152,0.19323
Egil,1474,0.17349,0.14561,0.18505,0.1807,0.17181,0.16975,0.17476,0.19277,0.17766,0.17541,0.15829,0.18341,0.17022,0.15946,0.18767,0.17401,0.17289,0.169,0.18959,0.17125
Egil,1476,0.20095,0.20117,0.21477,0.18789,0.16269,0.19835,0.21954,0.17798,0.20377,0.17142,0.17261,0.19689,0.18275,0.19234,0.18806,0.18827,0.20144,0.18567,0.19109,0.19429
Egil,1477,0.19664,0.2088,0.18667,0.18935,0.1994,0.20021,0.2054,0.19786,0.19859,0.20734,0.18278,0.19486,0.17508,0.1857,0.19235,0.22421,0.21245,0.17654,0.18497,0.22688
Egil,1478,0.18017,0.16508,0.17286,0.18609,0.20803,0.16204,0.17023,0.17121,0.15782,0.17075,0.15921,0.1744,0.16822,0.1572,0.16874,0.20803,0.1796,0.17136,0.14665,0.17281
Egil,1479,0.18924,0.14893,0.17523,0.16396,0.20187,0.17157,0.18609,0.22452,0.18743,0.2048,0.18479,0.17858,0.18479,0.20397,0.1946,0.19455,0.19455,0.17245,0.19036,0.18333
Egil,1482,0.15763,0.16994,0.14532,0.17095,0.175,0.17118,0.1877,0.17313,0.15319,0.17897,0.17399,0.14914,0.14851,0.17516,0.16113,0.15669,0.15241,0.14914,0.17617,0.17001
Egil,1483,0.16711,0.19088,0.18494,0.16276,0.13776,0.14983,0.15779,0.16361,0.14174,0.16809,0.15363,0.16288,0.16214,0.18059,0.15038,0.18628,0.18267,0.17575,0.16367,0.17942
Egil,1484,0.14034,0.15626,0.14931,0.1941,0.13736,0.17836,0.12126,0.14443,0.15352,0.11699,0.14479,0.14247,0.15032,0.14396,0.15317,0.15186,0.15715,0.15038,0.1464,0.15156
Egil,1486,0.13905,0.16097,0.19152,0.16601,0.15722,0.1498,0.16447,0.14877,0.15219,0.17718,0.18333,0.18051,0.14408,0.16899,0.16626,0.16934,0.17463,0.17044,0.15696,0.16771
Egil,1487,0.15806,0.16445,0.16584,0.16778,0.18034,0.16592,0.15591,0.18185,0.17298,0.13653,0.18077,0.15881,0.14747,0.16588,0.17259,0.16172,0.17298,0.14557,0.15931,0.17998
Egil,1488,0.13248,0.1405,0.15713,0.14845,0.14644,0.13396,0.11421,0.1636,0.13738,0.14013,0.15416,0.12758,0.14637,0.16181,0.16352,0.14778,0.15342,0.13055,0.14659,0.12928
Egil,1489,0.15673,0.18015,0.18258,0.16815,0.1735,0.17058,0.18655,0.19003,0.12723,0.16767,0.15648,0.16005,0.18776,0.16864,0.153,0.17318,0.18509,0.17561,0.17123,0.18509
Egil,1490,0.16407,0.17209,0.15537,0.17684,0.15458,0.18596,0.18085,0.15488,0.1609,0.17605,0.19174,0.16674,0.17501,0.15257,0.17654,0.1589,0.16619,0.18371,0.16242,0.18992
