collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Cudi1,598,0.19699,0.18031,0.17874,0.20559,0.18848,0.17219,0.1882,0.18844,0.19987,0.18824,0.17901,0.19226,0.18698,0.17878,0.1925,0.21103,0.21028,0.18895,0.18386,0.21662
Cudi1,599,0.19736,0.19283,0.18366,0.1867,0.17054,0.1981,0.23158,0.20198,0.19693,0.20235,0.18955,0.19146,0.18908,0.18487,0.19349,0.18807,0.18194,0.19466,0.20305,0.18471
Cudi1,600,0.19815,0.19157,0.18989,0.18735,0.21056,0.19866,0.19853,0.18432,0.20178,0.16516,0.19567,0.1901,0.2152,0.19385,0.19022,0.19056,0.20516,0.18423,0.17242,0.17731
Cudi1,603,0.16407,0.15533,0.15817,0.15053,0.16258,0.15202,0.16258,0.15533,0.12172,0.16057,0.15596,0.16162,0.14996,0.17684,0.16705,0.16499,0.16417,0.16739,0.14088,0.14904
Cudi1,604,0.20833,0.18465,0.17048,0.19805,0.18277,0.19215,0.19702,0.21177,0.20891,0.1838,0.18371,0.18858,0.1745,0.20207,0.19135,0.20296,0.18308,0.20363,0.1972,0.20922
Cudi1,605,0.18878,0.17767,0.17841,0.18829,0.19822,0.18258,0.19644,0.17424,0.1708,0.16688,0.19356,0.16669,0.17522,0.17129,0.19325,0.18436,0.16908,0.19479,0.20749,0.18602
Cudi1,606,0.17134,0.20461,0.19724,0.18439,0.16681,0.18395,0.18443,0.17658,0.197,0.19137,0.18395,0.18708,0.18699,0.17259,0.19445,0.17981,0.20967,0.17615,0.18968,0.16666
Cudi1,608,0.16027,0.2038,0.17405,0.16866,0.19382,0.18271,0.18482,0.17742,0.19485,0.19401,0.18365,0.171,0.18557,0.18651,0.17283,0.17498,0.15957,0.18777,0.16983,0.1866
Cudi1,609,0.17244,0.19657,0.18521,0.17886,0.18261,0.16956,0.17486,0.16739,0.17385,0.17046,0.17464,0.18961,0.17857,0.19012,0.17093,0.17118,0.17365,0.18755,0.17305,0.17955
Cudi1,611,0.16313,0.1808,0.18033,0.15492,0.17345,0.16793,0.1685,0.18442,0.18764,0.18051,0.17585,0.15883,0.19435,0.14804,0.16725,0.18008,0.17216,0.17209,0.18162,0.17729
Cudi1,612,0.1838,0.17731,0.17581,0.20885,0.21342,0.1798,0.20393,0.17778,0.19573,0.19962,0.18862,0.18395,0.1728,0.18961,0.17897,0.20496,0.19682,0.17949,0.18401,0.19412
Cudi1,613,0.19056,0.19094,0.17148,0.19761,0.18967,0.19526,0.18591,0.1852,0.20936,0.16546,0.18863,0.18483,0.18835,0.17787,0.19559,0.21923,0.18337,0.18069,0.19108,0.19117
Cudi1,614,0.18347,0.19039,0.1891,0.19285,0.17692,0.19185,0.14704,0.17454,0.17287,0.19265,0.17178,0.18952,0.16953,0.18643,0.17919,0.18009,0.19323,0.19811,0.1742,0.18213
Cudi1,615,0.16519,0.17201,0.16847,0.17438,0.15203,0.19839,0.1754,0.16831,0.169,0.14381,0.16439,0.16256,0.18045,0.15214,0.14816,0.16299,0.14107,0.16197,0.18045,0.17959
Cudi1,616,0.20179,0.2024,0.21718,0.21862,0.21164,0.20651,0.1982,0.14944,0.18044,0.1985,0.23453,0.22755,0.22375,0.17715,0.19189,0.19419,0.26912,0.17223,0.16586,0.18916
Cudi1,617,0.24744,0.23087,0.24648,0.2302,0.21937,0.20701,0.23786,0.24543,0.20414,0.23604,0.20922,0.24025,0.25453,0.22656,0.21908,0.23029,0.25711,0.23087,0.23719,0.2097
Cudi1,618,0.202,0.20236,0.18001,0.19379,0.14027,0.17687,0.21372,0.24573,0.20635,0.19886,0.18871,0.22531,0.21215,0.23196,0.21299,0.21952,0.26675,0.2136,0.23353,0.20925
Cudi1,619,0.18855,0.16633,0.17196,0.17404,0.17013,0.1645,0.1738,0.16343,0.17569,0.1991,0.17931,0.17878,0.18417,0.16693,0.18654,0.14506,0.16817,0.17718,0.16805,0.18055
Cudi1,621,0.1724,0.16629,0.17499,0.18063,0.1481,0.18236,0.1678,0.16661,0.16852,0.1518,0.18369,0.19329,0.15791,0.16802,0.17111,0.17204,0.17452,0.16316,0.18085,0.15428
