collection.site,maternal.id,seed.1,seed.2,seed.3,seed.4,seed.5,seed.6,seed.7,seed.8,seed.9,seed.10,seed.11,seed.12,seed.13,seed.14,seed.15,seed.16,seed.17,seed.18,seed.19,seed.20
Kayatape,2074,0.14853,0.14287,0.14048,0.13392,0.10163,0.12711,0.14329,0.15105,0.14419,0.14274,0.13874,0.15007,0.15356,0.16336,0.15561,0.1395,0.13869,0.15356,0.12523,0.14738
Kayatape,2075,0.1727,0.14944,0.15723,0.16322,0.1688,0.16185,0.15037,0.15876,0.1431,0.14695,0.17105,0.16226,0.15567,0.15511,0.16615,0.148,0.17141,0.15723,0.1392,0.16089
Kayatape,2076,0.19458,0.18549,0.15936,0.19377,0.17786,0.11634,0.18589,0.15968,0.1734,0.19125,0.17429,0.16642,0.18403,0.19742,0.15416,0.20196,0.1708,0.12933,0.16885,0.18338
Kayatape,2079,0.16104,0.16354,0.14699,0.16493,0.16045,0.12747,0.16489,0.15014,0.16332,0.15737,0.16229,0.15499,0.14879,0.16082,0.16497,0.16034,0.16867,0.14824,0.15744,0.16772
Kayatape,2080,0.17475,0.13989,0.18572,0.15783,0.16372,0.18411,0.17358,0.195,0.16313,0.19734,0.11884,0.16489,0.16174,0.19624,0.17198,0.13104,0.19062,0.19398,0.1578,0.16408
Kayatape,2081,0.19477,0.16865,0.12082,0.13801,0.21383,0.15435,0.17903,0.15078,0.18856,0.14329,0.14456,0.16745,0.15512,0.15409,0.17596,0.17214,0.18039,0.15903,0.18447,0.17716
Kayatape,2083,0.13472,0.14664,0.14077,0.13093,0.12897,0.11796,0.16144,0.14438,0.14731,0.13246,0.15227,0.15196,0.15863,0.13851,0.16847,0.15869,0.12249,0.14927,0.15031,0.14157
Kayatape,2084,0.15976,0.19423,0.17384,0.14308,0.17334,0.22937,0.201,0.19728,0.17511,0.17783,0.14308,0.14375,0.14724,0.17994,0.17212,0.17428,0.15583,0.18531,0.16946,0.18476
Kayatape,2085,0.1768,0.16357,0.17605,0.17997,0.14214,0.1631,0.13459,0.16692,0.16804,0.1918,0.14875,0.16879,0.1549,0.15462,0.13785,0.14931,0.17391,0.18136,0.18099,0.1672
Kayatape,2086,0.16182,0.154,0.15927,0.15842,0.16441,0.18516,0.15043,0.15808,0.17904,0.16883,0.16152,0.16344,0.1727,0.16212,0.15523,0.18656,0.16148,0.16327,0.16637,0.16152
Kayatape,2087,0.17511,0.16604,0.16687,0.16346,0.20172,0.17028,0.20114,0.15755,0.23475,0.20696,0.18592,0.1954,0.17253,0.1895,0.1954,0.18567,0.13318,0.17136,0.16421,0.18109
Kayatape,2088,0.20825,0.13906,0.16743,0.17176,0.16996,0.20099,0.15997,0.18641,0.12181,0.1936,0.16104,0.18075,0.17848,0.17529,0.17069,0.16453,0.16696,0.18861,0.15764,0.12901
Kayatape,2089,0.1722,0.17281,0.18092,0.16889,0.16749,0.17281,0.15503,0.15721,0.16636,0.16148,0.17107,0.15599,0.18693,0.1573,0.14884,0.16331,0.18406,0.19949,0.14553,0.20602
Kayatape,2090,0.17333,0.1705,0.16782,0.16566,0.16263,0.17124,0.15333,0.15131,0.16674,0.15567,0.15114,0.16086,0.14776,0.15779,0.18576,0.16228,0.15298,0.16706,0.15044,0.15654
